time_sec,x,y,z
1744488238.308615,9.136893120079671e-06,-5.214268422959619e-06,0.24348366147439507
1744488238.3238494,1.0922247319750715e-05,-6.233201116935156e-06,0.25610064483669653
1744488238.3356807,1.2953640719726237e-05,-7.392560598210781e-06,0.2692693300563467
1744488238.3547015,1.5251879647497257e-05,-8.704222038708332e-06,0.2829897171297017
1744488238.3665826,1.7838596622469274e-05,-1.0180532045539223e-05,0.29726180605201974
1744488238.3831527,2.0736266395970187e-05,-1.1834317853192977e-05,0.31208559681769416
1744488238.3956318,2.3968216103752157e-05,-1.3678893162010675e-05,0.3274610894203303
1744488238.4087718,2.7558629054679212e-05,-1.572806034550409e-05,0.34338828385275
1744488238.4254248,3.153254279958321e-05,-1.7996109388576087e-05,0.3598671801069649
1744488238.437259,3.5915843088613304e-05,-2.049781447011597e-05,0.3768977781741348
1744488238.4547772,4.073525595128867e-05,-2.3248429462418293e-05,0.3944800780445206
1744488238.466147,4.6018340317410786e-05,-2.626368372696868e-05,0.4126140797074318
1744488238.4811478,5.1793483341616016e-05,-2.955977944240546e-05,0.4312997831511706
1744488238.4941144,5.808989999951283e-05,-3.315339136251471e-05,0.4505371883629726
1744488238.5065663,6.493763774709552e-05,-3.706166945992907e-05,0.47032629532894243
1744488238.5207667,7.236758624269582e-05,-4.130224445905048e-05,0.49066710403398384
1744488238.533599,8.041149145197509e-05,-4.589323587383806e-05,0.5115596144617255
1744488238.551603,8.910197296426655e-05,-5.085326188430833e-05,0.53300382659444
1744488238.5616555,9.847254305951844e-05,-5.620145021956693e-05,0.5549997404129581
1744488238.580457,0.0001085576259549736,-6.195744915130587e-05,0.5775473558965787
1744488238.5904667,0.00011939257568524305,-6.814143771479244e-05,0.6006466730229749
1744488238.602885,0.00013101369118218522,-7.477413433801715e-05,0.6242976917680967
1744488238.6178334,0.00014345822728522374,-8.187680315288414e-05,0.6485004121060739
1744488238.6286669,0.00015676440060652565,-8.947125737260357e-05,0.6732548340091167
1744488238.643588,0.0001709713893920673,-9.757985924289498e-05,0.6985609574474203
1744488238.65563,0.00018611932676467331,-0.00010622551621442957,0.7244187823890705
1744488238.6676185,0.0002022492870222487,-0.00011543167314788262,0.7508283087999548
1744488238.6834009,0.0002194032650098679,-0.000125222300560303,0.7777895366436786
1744488238.692824,0.0002376241490008026,-0.00013562187915946744,0.8053024658814899
1744488238.7064097,0.0002569556880110621,-0.00014665538119269786,0.8333670964722101
1744488238.719305,0.000277442455018747,-0.00015834824944925452,0.8619834283721731
1744488238.7302356,0.00029912980812307744,-0.00017072637507782845,0.8911514615351711
1744488238.7488444,0.0003220638521899059,-0.0001838160756737576,0.9208711959124045
1744488238.7587872,0.0003462914025573525,-0.00019764407453612878,0.9511426314524339
1744488238.7727742,0.0003718599262800491,-0.00021223746710166214,0.9819657681011611
1744488238.7861845,0.00039881756713973414,-0.00022762373519031858,1.0133406058017311
1744488238.797149,0.0004272131358787073,-0.00024383074140633853,1.0452671444944557
1744488238.814771,0.000457096102996393,-0.00026088672501133465,1.077745384116741
1744488238.8248696,0.000488516615820644,-0.0002788203116652038,1.1107753246029834
1744488238.8376982,0.000521525526654992,-0.00029766052950369403,1.1443569658844452
1744488238.8516488,0.0005561744294587307,-0.00031743683010170703,1.1784903078891085
1744488238.862143,0.0005925157017697741,-0.00033817911244332335,1.2131753505415166
1744488238.8812866,0.0006306025483513589,-0.0003599177478873601,1.2484120937626006
1744488238.8941684,0.0006704890433339068,-0.00038268360428187376,1.2842005374694996
1744488238.9089398,0.0007122301683145914,-0.0004065080677751544,1.3205406815753735
1744488238.9227326,0.000755881844776341,-0.0004314230613842206,1.357432525989221
1744488238.9341817,0.000801500960089675,-0.00045746105989720985,1.3948760706156966
1744488238.9504285,0.000849145387101892,-0.00048465510111007584,1.43287131535493
1744488238.9597805,0.0008988739978080298,-0.0005130387936786984,1.4714182601023544
1744488238.9770222,0.000950746671820021,-0.0005426463219951411,1.5105169047485334
1744488238.9903996,0.0010048243003432592,-0.0005735124484933625,1.5501672491789973
1744488239.001012,0.001061168786201724,-0.000605672513694166,1.5903692932740812
1744488239.0117438,0.0011198430401989862,-0.0006391624341544312,1.631123036908768
1744488239.0282073,0.0011809109738300308,-0.0006740186983301534,1.6724284799525377
1744488239.039074,0.0012444374881211855,-0.0007102783602269583,1.7142856222692229
1744488239.0502195,0.001310488458211642,-0.0007479790306179957,1.7566944637168742
1744488239.0665462,0.0013791307132282216,-0.0007871588655735151,1.7996550041476382
1744488239.0767968,0.0014504320110651926,-0.0008278565520804785,1.843167243407648
1744488239.0904236,0.0015244610078767344,-0.0008701112906420946,1.8872311813369296
1744488239.1029086,0.0016012872224272939,-0.0009139627749397483,1.9318468177693273
1744488239.1131558,0.0016809809959196047,-0.000959451168910636,1.9770141525324472
1744488239.1290944,0.0017636134485090665,-0.0010066170819306942,2.022733185447617
1744488239.1425526,0.0018492564343694118,-0.001055501543167264,2.0690039163298586
1744488239.1547205,0.0019379824978208054,-0.0011061459765352498,2.115826344987873
1744488239.1669712,0.002029864833560385,-0.0011585921779930025,2.163200471224017
1744488239.1779802,0.0021249772543190846,-0.0012128822970768462,2.211126294834274
1744488239.1895638,0.0022233941691826046,-0.0012690588245247865,2.259603815608205
1744488239.2018886,0.002325190575271204,-0.00132716458753043,2.308633033328859
1744488239.2138674,0.0024304420644619138,-0.0013872427535912685,2.3582139477726445
1744488239.2238884,0.0025392248454523107,-0.0014493368431250716,2.4083465587091504
1744488239.2367678,0.002651615779909049,-0.001513490750139349,2.459030865900915
