time_sec,x,y,z
1744489486.5967007,2.176031391786762e-05,-4.608876500982457e-05,4.96763822346212
1744489486.6079977,2.6357554061012878e-05,-5.365625294417862e-05,4.965913909535538
1744489486.6190252,3.150141192287162e-05,-6.201277758539192e-05,4.964097620582685
1744489486.628814,3.7217502316708756e-05,-7.119325259366145e-05,4.962179279115179
1744489486.642201,4.3529450684692687e-05,-8.122897601089963e-05,4.960145827928509
1744489486.6535614,5.045892777829937e-05,-9.21489782774302e-05,4.957983299506754
1744489486.6648383,5.8027616935111245e-05,-0.00010398261780131012,4.955679807881802
1744489486.677204,6.625843031269267e-05,-0.00011676135504464008,4.953226900822483
1744489486.6878426,7.517658825357122e-05,-0.0001305203290783892,4.950620424225914
1744489486.698917,8.481034720754478e-05,-0.00014529940249804598,4.947860744018224
1744489486.7089496,9.519127261622658e-05,-0.00016114352292859776,4.944952355082495
1744489486.720697,0.00010635398615744058,-0.00017810229935766287,4.941902942920469
1744489486.7308717,0.00011833548040287072,-0.00019622892675594315,4.9387221175145495
1744489486.7422287,0.00013117416949255523,-0.00021557870009925842,4.935420063873359
1744489486.752901,0.00014490889304997478,-0.00023620742963136995,4.932006344666134
1744489486.7638426,0.0001595780455026178,-0.0002581700109081156,4.928488999085098
1744489486.7743871,0.00017521890097855615,-0.0002815192679213142,4.924873962327298
1744489486.784614,0.00019186716919157486,-0.00030630514810830014,4.92116479695464
1744489486.7964792,0.00020955675690486922,-0.0003325742652212626,4.91736267806896
1744489486.806699,0.00022831970598423084,-0.00036036977495112766,4.913466578395324
1744489486.8169699,0.00024818627474265827,-0.0003897315467896082,4.9094735976425055
1744489486.8279102,0.00026918517529738264,-0.00042069664109068534,4.90537941669643
1744489486.8385844,0.000291343944658055,-0.000453300032391787,4.901178825320125
1744489486.8489852,0.0003146895422519469,-0.00048757567169226596,4.8968663603326394
1744489486.8591127,0.00033924900387895604,-0.000523557608128609,4.892436898624209
1744489486.869062,0.00036505010634151845,-0.0005612810752143748,4.887886163838665
1744489486.8796587,0.0003921219755402691,-0.0006007834299603255,4.883211105073426
1744489486.889641,0.0004204955362936222,-0.0006421047990497556,4.878410096677472
1744489486.8997502,0.00045020376096658633,-0.0006852883806893214,4.873482958911324
1744489486.9101605,0.00048128171063536383,-0.0007303804097243792,4.86843082611719
1744489486.9206085,0.0005137663552421039,-0.0007774297872212448,4.86325588224271
1744489486.9314883,0.0005476962379591914,-0.0008264874859604769,4.85796102719628
1744489486.9426813,0.0005831110412010493,-0.0008776058299308929,4.852549523189828
1744489486.9537385,0.0006200511164056655,-0.0009308377480440646,4.847024664008198
1744489486.9635363,0.000658557007902852,-0.0009862360526793387,4.841389484635284
1744489486.9742277,0.0006986690189309233,-0.0010438528124533677,4.835646533681768
1744489486.9844596,0.000740426849340271,-0.0011037388575079136,4.8297977166990735
1744489486.9947045,0.0007838693194202281,-0.0011659434305191952,4.823844208130985
1744489487.0048685,0.0008290342186366749,-0.0012305140275869415,4.8177864416437775
1744489487.0154624,0.0008759582626935681,-0.0012974963960508562,4.81162415958546
1744489487.0275712,0.0009246771364649595,-0.001366934649324617,4.8053565015970845
1744489487.0450351,0.0009752256486657718,-0.0014388715272660806,4.798982138595524
1744489487.0590355,0.0010276379503974882,-0.001513348732058341,4.7924994230612965
1744489487.0703695,0.0010819480082400856,-0.0015904075976200924,4.785906640678375
1744489487.0877972,0.0011381898417251175,-0.0016700894248134197,4.779202132380792
1744489487.0977113,0.001196398046830155,-0.0017524361949921897,4.772384528375009
1744489487.1147506,0.0012566079902364762,-0.0018374908289532873,4.765452818665432
